date,R10+RSI 70/60/50,Consensus 80/60/40 (default),Hybrid Cons + (VIX_back OR SOXL_mom5),Hybrid Cons + VIX_back,Hybrid Cons + (VIX_back AND SOXL_mom5),soxl_bnh
2021-04-28,173052.73019435274,191341.68850610877,198969.08345486206,186620.33867323806,191341.68850610877,18242.214532871974
2021-04-29,173052.73019435274,191341.68850610877,198969.08345486206,186620.33867323806,191341.68850610877,18535.17877739331
2021-04-30,166644.37261020724,183243.83658499303,190548.42935027496,178722.30098033822,183243.83658499303,16991.9261822376
2021-05-03,169205.97131482651,186501.52823884596,193935.98136576256,181899.60920042114,186501.52823884596,16424.452133794694
2021-05-04,168519.85125111643,185745.27572929845,193149.5825947477,181162.01719652425,185745.27572929845,15591.695501730104
2021-05-05,165750.33535056753,182692.6710019327,189975.29282289514,178184.7353898032,182692.6710019327,15946.943483275663
2021-05-06,167114.10831817432,184410.58229348267,191761.68468451782,179860.25727707552,184410.58229348267,16223.760092272201
2021-05-07,168411.01545461646,186040.1788357745,193456.24133316302,181449.64357860558,186040.1788357745,17010.38062283737
2021-05-10,167656.9148521499,184642.94620882286,192003.31125123304,180086.88762049304,184642.94620882286,14749.711649365629
2021-05-11,170644.0815969662,187932.7554544856,195424.26115222627,183295.52093187062,187932.7554544856,14740.484429065746
2021-05-12,170644.0815969662,187932.7554544856,195424.26115222627,183295.52093187062,187932.7554544856,12957.324106113032
2021-05-13,170644.0815969662,187932.7554544856,195424.26115222627,183295.52093187062,187932.7554544856,13476.355247981544
2021-05-14,175013.15161121154,193431.8628622486,201142.57778925914,188658.93804629878,193431.8628622486,14742.791234140715
2021-05-17,172577.9348083908,190366.78981094994,197955.32267250697,185669.4955711253,190366.78981094994,14325.259515570935
2021-05-18,172577.9348083908,190366.78981094994,197955.32267250697,185669.4955711253,190366.78981094994,13942.32987312572
2021-05-19,172577.9348083908,190366.78981094994,197955.32267250697,185669.4955711253,190366.78981094994,14786.620530565167
2021-05-20,176569.45587347896,196237.3977962042,204059.94890042668,191395.24649858713,196237.3977962042,15953.863898500575
2021-05-21,177526.60480916456,197645.1433882444,205523.81102254294,192768.25601472252,197645.1433882444,15732.410611303347
2021-05-24,179014.0137750561,199853.10659208166,207819.78958528847,194921.73779956106,199853.10659208166,16825.836216839678
2021-05-25,180293.57454656716,201752.5324832498,209794.9317072526,196774.29541971185,201752.5324832498,17044.98269896194
2021-05-26,178778.41911311308,199491.8755032924,207444.15885257703,194569.42007593543,199491.8755032924,17123.41407151096
2021-05-27,178942.2712869118,199730.56915314303,207692.36747406493,194802.22396787378,199730.56915314303,17448.673587081892
2021-05-28,179615.9015457874,200732.19171296534,208733.917406291,195779.13152417366,200732.19171296534,17928.489042675894
2021-06-01,174771.98131761776,193496.30220976638,201209.58586269128,188721.78735504867,193496.30220976638,17651.672433679352
2021-06-02,175235.68724455772,194177.9785508212,201918.43565831854,189386.64335494285,194177.9785508212,18089.965397923876
2021-06-03,169709.24485206063,186037.40599987353,193453.3579645563,181446.9391623387,186037.40599987353,17098.039215686276
2021-06-04,174830.93615263735,193568.21865073236,201284.36908665075,188791.92926021336,193568.21865073236,18269.896193771627
2021-06-07,174152.4583415729,192571.24358839603,200247.65191367522,187819.55452455275,192571.24358839603,17951.557093425603
2021-06-08,173008.4320485136,191306.2223073289,198932.20347789544,186585.74760173954,191306.2223073289,17596.309111880048
2021-06-09,172028.09191393323,190222.19902879733,197804.96811242372,185528.4725617381,190222.19902879733,17374.855824682814
2021-06-10,172959.126634509,191398.77411985822,199028.44465489575,186676.01570135698,191398.77411985822,18002.30680507497
2021-06-11,172885.55029250798,191305.7936011121,198931.75768229447,186585.32947383448,191305.7936011121,18223.760092272205
2021-06-14,175327.68987462166,194394.18159652612,202143.25713961694,189597.51159764873,194394.18159652612,18961.93771626298
2021-06-15,170479.3044221385,188255.2533045163,195759.61463498144,183610.06115812247,188255.2533045163,18454.44059976932
2021-06-16,170622.21129847615,188665.45752689513,196186.1707022622,184010.14360488666,188665.45752689513,18053.05651672434
2021-06-17,172920.30656479998,191453.4198260043,199085.2686860388,186729.31302651204,191453.4198260043,18592.84890426759
2021-06-18,170978.84413850572,188999.9667069556,196534.01431900618,184336.3987819972,188999.9667069556,17236.447520184545
2021-06-21,170953.8556308578,188968.39837621647,196501.18758959655,184305.60939877454,188968.39837621647,17589.388696655133
2021-06-22,170091.7520813028,187879.45816594604,195368.83929024657,183243.53875216225,187879.45816594604,17748.558246828143
2021-06-23,169349.7996887913,186942.15879208464,194394.17663938325,182329.36720933797,186942.15879208464,17983.8523644752
2021-06-24,173475.54583647792,192155.40318169817,199815.23498859128,187413.97496613098,192155.40318169817,18925.02883506344
2021-06-25,174018.8689515315,192842.62421189563,200529.85049960122,188084.23884014678,192842.62421189563,18740.484429065742
2021-06-28,177051.02367516016,196682.79019878164,204523.0958435235,191829.64885836787,196682.79019878164,20096.88581314879
2021-06-29,178275.40141968947,198237.77508569838,206140.06661529606,193346.2645446505,198237.77508569838,20576.701268742792
2021-06-30,178063.07971555323,197968.29250959933,205859.84173805098,193083.43144220015,197968.29250959933,20572.08765859285
2021-07-01,178063.07971555323,197968.29250959933,205859.84173805098,193083.43144220015,197968.29250959933,19584.77508650519
2021-07-02,178063.07971555323,197968.29250959933,205859.84173805098,193083.43144220015,197968.29250959933,19972.318339100344
2021-07-06,178063.07971555323,197968.29250959933,205859.84173805098,193083.43144220015,197968.29250959933,19880.0461361015
2021-07-07,177966.43100214397,197860.839685592,205748.10555512973,192978.63001306984,197860.839685592,19044.982698961936
2021-07-08,182736.33532963917,203163.95932531083,211262.62182392838,198150.8953511456,203163.95932531083,18352.941176470587
2021-07-09,186155.9643895075,207508.98855928332,215780.8556234617,202388.71113253594,207508.98855928332,19266.43598615917
2021-07-12,187456.57589861983,209163.9381858215,217501.7759985621,204002.82493179746,209163.9381858215,19949.250288350635
2021-07-13,186863.78032364056,208408.3465845206,216716.0644813763,203265.87752825802,208408.3465845206,19614.763552479817
