date,equity
2023-09-12,833765.4937499932
2023-09-13,833522.3065802922
2023-09-14,840528.6856291054
2023-09-15,842677.5025035208
2023-09-18,856152.6847859956
2023-09-19,853379.5496368185
2023-09-20,854751.2907070653
2023-09-21,842984.0055438131
2023-09-22,847575.6754455247
2023-09-25,849654.2374612493
2023-09-26,842574.4855340277
2023-09-27,836165.759752755
2023-09-28,854478.580689691
2023-09-29,865345.6853615941
2023-10-02,861900.5987179489
2023-10-03,820815.3536462414
2023-10-04,832525.5925195181
2023-10-05,818010.1115985899
2023-10-06,840236.5128566568
2023-10-09,836306.361837128
2023-10-10,844192.9073109898
2023-10-11,844974.8161417638
2023-10-12,839703.9031227817
2023-10-13,850943.1237733796
2023-10-16,858808.372369071
2023-10-17,843552.8138862068
2023-10-18,833282.8905317313
2023-10-19,851390.0707462041
2023-10-20,840656.5785210566
2023-10-23,835565.5796945704
2023-10-24,839385.853914021
2023-10-25,840849.4461142316
2023-10-26,831687.1799523118
2023-10-27,833802.9202682965
2023-10-30,818042.8466608373
2023-10-31,821945.9366068149
2023-11-01,839045.3105901071
2023-11-02,848987.9030124103
2023-11-03,863436.5899531774
2023-11-06,864107.4357789229
2023-11-07,868272.7162513002
2023-11-08,861418.4176815634
2023-11-09,844767.2814313532
2023-11-10,896308.8848207576
2023-11-13,889567.2053864544
2023-11-14,889567.2053864544
2023-11-15,882706.0531599332
2023-11-16,874929.2303838541
2023-11-17,879162.355930256
2023-11-20,894665.0118576064
2023-11-21,887738.614669229
2023-11-22,874082.0891929793
2023-11-24,873267.6255520687
2023-11-27,868104.5519102447
2023-11-28,850957.5537231318
2023-11-29,858618.5948360774
2023-11-30,862646.3609297893
2023-12-01,870622.9251490302
2023-12-04,862133.8532450803
2023-12-05,859535.6917079574
2023-12-06,881774.3389084975
2023-12-07,896329.0626347265
2023-12-08,901947.6564938519
2023-12-11,939023.2569092092
2023-12-12,945816.0684398958
2023-12-13,962367.2456959632
2023-12-14,991978.2220318856
2023-12-15,987159.65763187
2023-12-18,986554.354466384
2023-12-19,985658.1655720423
2023-12-20,977289.295397561
2023-12-21,962962.5319259578
2023-12-22,952353.7911466671
2023-12-26,972814.3760065701
2023-12-27,976271.0379290858
2023-12-28,976271.0379290858
2023-12-29,976271.0379290858
2024-01-02,975707.2313094761
2024-01-03,995401.9166079605
2024-01-04,995401.9166079605
2024-01-05,992812.0811850335
2024-01-08,1039819.0824988524
2024-01-09,1040065.3912854441
2024-01-10,1041832.2456575064
2024-01-11,1037177.658276593
2024-01-12,1039357.5863627769
2024-01-16,1053497.271016091
2024-01-17,1043895.3163403857
2024-01-18,1043895.3163403857
2024-01-19,1081146.3103519296
2024-01-22,1070478.711996245
2024-01-23,1071732.6697866886
2024-01-24,1078855.674659124
2024-01-25,1113013.2282422408
2024-01-26,1113013.2282422408
2024-01-29,1118966.6094551678
2024-01-30,1083413.5093296063
2024-01-31,1045673.9458608313
2024-02-01,1049519.7369535244
2024-02-02,1065042.5524208895
2024-02-05,1073328.1878144466
2024-02-06,1068485.255451833
2024-02-07,1068701.1015404759
2024-02-08,1086728.7708125436
2024-02-09,1107634.09827225
2024-02-12,1093310.6881495467
2024-02-13,1035769.0320729349
2024-02-14,1042936.7412701282
2024-02-15,1049047.2119403717
2024-02-16,1016117.8093938888
2024-02-20,985207.4961129392
2024-02-21,1005273.0970621905
2024-02-22,1041200.7859600978
2024-02-23,1035426.6764631353
2024-02-26,1024101.0260904228
2024-02-27,1024101.0260904228
2024-02-28,1015053.5436169369
2024-02-29,1050317.8309304407
2024-03-01,1107549.3751606408
2024-03-04,1105532.9711499014
2024-03-05,1056332.7595081716
2024-03-06,1094874.3145654113
2024-03-07,1123919.0433588095
2024-03-08,1044398.4449848866
2024-03-11,1012286.6555031228
2024-03-12,1039729.7206431035
2024-03-13,1028359.0661581559
2024-03-14,988496.6905828954
2024-03-15,973614.0115379381
2024-03-18,987324.5472655762
2024-03-19,986980.0886784862
